character name,age,eyeColor,hairColor,special powers,country / place of residence,gender,Species,movie,release date
San,16,brown,brown,N/A,Japan,Female,Human,Princess Mononoke,1997
Eboshi,N/A,hazel,black,N/A,Japan,Female,Human,Princess Mononoke,1997
Jigo,N/A,black,brown,N/A,Japan,Male,Human,Princess Mononoke,1997
Kohroku,N/A,black,brown,N/A,Japan,Male,Human,Princess Mononoke,1997
Gonza,N/A,grey,bald,N/A,Japan,Male,Human,Princess Mononoke,1997
Hii-sama,50,brown,white,N/A,Japan,Female,Human,Princess Mononoke,1997
Yakul,N/A,grey,brown,N.A,Japan,Male,Red Elk,Princess Mononoke,1997
Shishigami,400,red,light orange,shape-shifting,Japan,Male,Spirit,Princess Mononoke,1997
Moro,300,brown,white,"Divine power and intelligence, understand and speak human languages",Japan,Female,Wolf,Princess Mononoke,1997
Takashi Yamada,N/A,black,black,N/A,Japan,Male,Human,My Neighbors the Yamadas,1999
Matsuko Yamada,N/A,black,grey,N/A,Japan,Female,Human,My Neighbors the Yamadas,1999
Noboru Yamada,13,black,black,N/A,Japan,Male,Human,My Neighbors the Yamadas,1999
Nonoko Yamada,5,black,brown,N/A,Japan,Female,Human,My Neighbors the Yamadas,1999
Shige Yamano,N/A,black,white,N/A,Japan,Female,Human,My Neighbors the Yamadas,1999
Chihiro,10,black,brown,N/A,Japan,Female,Human,Spirited Away,2001
Nigiayami Kohakunushi/Haku,12,green,green,"flight, shape-shifting",Japan,Male,Spirit (Dragon),Spirited Away,2001
Yubaba,60,dark brown,white,"transformation, sensing, telekinesis, pyrokinesis, energy projectile, flight, contract bestowal, infestation, true name manipulation, memory manipulation, cleanliness inducement, conjuration, power negation, cursing",Japan,Female,Witch,Spirited Away,2001
Kamaji,40,N/A,bald,"extendable limbs, great memory",Japan,Male,Spirit,Spirited Away,2001
No-Face,N/A,N/A,N/A,"mimicry, alchemy, absorbing, vomiting",Japan,Male,Spirit,Spirited Away,2001
Lin,19,brown,brown,N/A,Japan,Female,Spirit of the White Fox,Spirited Away,2001
Boh,1,black,bald,N/A,Japan,Male,Giant Baby,Spirited Away,2001
Zeniba,60,dark brown,white,"magic, paper charms magic, spirit possession, astral projection, transformation, telekinesis, sensing, arcane knowledge",Japan,Female,Witch,Spirited Away,2001
Akio Ogino,38,black,brown,N/A,Japan,Male,Human,Spirited Away,2001
Yuko Ogino,35,dark brown,brown,N/A,Japan,Female,Human,Spirited Away,2001
Muta,N/A,white,beige,"walk bipedal, speak human languages, perform human-like deeds",Japan,Male,Cat,The Cat Returns,2002
Cat King,87,emerald,grey,N/A,Japan,Male,Cat,The Cat Returns,2002
Yuki,N/A,blue,white,N/A,Japan,Female,Cat,The Cat Returns,2002
Haru Yoshioka,17,brown,brown,N/A,Japan,Female,Human,The Cat Returns,2002
Natori,N/A,blue,grey,N/A,Japan,Male,Cat,The Cat Returns,2002
Toto,N/A,black,dark blue,"flight",Japan,Male,Gargoyle (Bird),The Cat Returns,2002
Prince Lune,N/A,dark brown,russian blue,N/A,Japan,Male,Cat,The Cat Returns,2002
Hiromi,17,brown,light brown,N/A,Japan,Female,Human,The Cat Returns,2002
Naoko Yoshioka,N/A,light brown,light brown,N/A,Japan,Female,Human,The Cat Returns,2002
Howl Jenkins Pendragon,27,bright blue,bright blue,"shape-shifting, sorcery",Europe,Male,Wizard,Howl's Moving Castle,2004
Sophie Hatter,18,brown,white,N/A,Europe,Female,Human,Howl's Moving Castle,2004
Witch of the Waste,59,brown,white,casting spells,Europe,Female,Witch/Human,Howl's Moving Castle,2004
Calcifer,N/A,dark brown,orange yellow,N/A,Europe,Male,Demon,Howl's Moving Castle,2004
Markl,10,dark brown,brown,N/A,Europe,Male,Human,Howl's Moving Castle,2004
Prince Justin (aka Turnip Head),25,grey,blonde,N/A,Europe,Male,Human/Scarecrow,Howl's Moving Castle,2004
Madame Suliman,50,grey,white,N/A,Europe,Female,Human,Howl's Moving Castle,2004
Heen,N/A,brown,beige white,N/A,Europe,Male,Dog,Howl's Moving Castle,2004
Lettie Hatter,16,blue,blonde,N/A,Europe,Female,Human,Howl's Moving Castle,2004
Fanny Hatter/Honey,N/A,grey,blonde,N/A,Europe,Female,Human,Howl's Moving Castle,2004
Ged,N/A,brown,black,N/A,Europe,Male,Human,Tales from Earthsea,2006
Arren / Lebannen,17,dark brown,dark brown,N/A,Europe,Male,Human,Tales from Earthsea,2006
Therru,16,dark brown,dark brown,shape-shifting,Europe,Female,Dragon/Human,Tales from Earthsea,2006
Tenar,N/A,grey,blonde,N/A,Europe,Female,Human,Tales from Earthsea,2006
King of Enlad,N/A,dark brown,brown,N/A,Europe,Male,Human,Tales from Earthsea,2006
Cob,N/A,violet,purple,magic,Europe,Male,Arch-Mage/Human,Tales from Earthsea,2006
Hare,N/A,dark brown,brown,N/A,Europe,Male,Human,Tales from Earthsea,2006
Hazia Dealer,N/A,dark brown,brown,N/A,Europe,Male,Human,Tales from Earthsea,2006
Sosuke,5,brown,brown,N/A,Japan,Male,Human,Ponyo on the Cliff by the Sea,2008
Ponyo,5,dark brown,red,shape-shifting,Japan,Female,Fish/Human,Ponyo on the Cliff by the Sea,2008
Koichi,30,dark brown,black,N/A,Japan,Male,Human,Ponyo on the Cliff by the Sea,2008
Fujimoto,40,light green,red,"magic, summoning sea monsters",Japan,Male,Wizard/Human,Ponyo on the Cliff by the Sea,2008
Granmammare,600,brown,red,shape-shifting,Japan,Female,Deity,Ponyo on the Cliff by the Sea,2008
Lisa,25,dark brown,brown,N/A,Japan,Female,Human,Ponyo on the Cliff by the Sea,2008
Toki,72,dark brown,white,N/A,Japan,Female,Human,Ponyo on the CLiff by the Sea,2008
Yoshie,68,dark brown,blonde,N/A,Japan,Female,Human,Ponyo on the Cliff by the Sea,2008
Noriko,70,dark brown,brown,N/A,Japan,Female,Human,Ponyo on the Cliff by the Sea,2008
Koyo,68,dark brown,brown,N/A,Japan,Female,Human,Ponyo on the Cliff by the Sea,2008
Arrietty,14,black,auburn,N/A,Europe,Female,Borrower,The Secret World of Arrietty,2010
Sho (Shawn),13,brown,navy blue/black,N/A,Europe,Male,Human,The Secret World of Arrietty,2010
Homily Clock,52,brown,navy black,N/A,Europe,Female,Borrower,The Secret World of Arrietty,2010
Sadako Maki/Jessica,N/A,black,grey,N/A,Europe,Female,Human,The Secret World of Arrietty,2010
Haru  (aka Hara),N/A,brown,brown,N/A,Europe,Female,Human,The Secret World of Arrietty,2010
Spiller,18,black,navy black,N/A,Europe,Male,Borrower,The Secret World of Arrietty,2010
Pod Clock,52,grey,brown,N/A,Europe,Male,Borrower,The Secret World of Arrietty,2010
Niya,N/A,white,beige,N/A,Europe,Male,Cat,The Secret World of Arrietty,2010
Umi Matsuzaki,16,hazel,brown,N/A,Japan,Female,Human,From Up on Poppy Hill,2011
Shun Kazama,17,black,dark brown,N/A,Japan,Male,Human,From Up on Poppy Hill,2011
Yuichiro Sawamura,N/A,brown,brown,N/A,Japan,Male,Human,From Up on Poppy Hill,2011
Sora Matsuzaki,13,black,brown,N/A,Japan,Female,Human,From Up on Poppy Hill,2011
Shirou Mizunuma,18,black,brown,N/A,Japan,Male,Human,From Up on Poppy Hill,2011
Ryoko Matsuzaki,N/A,black,brown,N/A,Japan,Female,Human,From Up on Poppy Hill,2011
Riku Matsuzaki,11,black,brown,N/A,Japan,Male,Human,From Up on Poppy Hill,2011
Hana Matsuzaki,N/A,brown,dark grey,N/A,Japan,Female,Human,From Up on Poppy Hill,2011
Naoko Satomi,N/A,black,navy blue,N/A,Japan,Female,Human,The Wind Rises,2013
Jiro Horikoshi,42,black,brown,N/A,Japan,Male,Human,The Wind Rises,2013
Castorp,N/A,light brown,brown,N/A,Germany,Male,Human,The Wind Rises,2013
Kiro Honjo,N/A,black,brown,N/A,Japan,Male,Human,The Wind Rises,2013
Kayo Horikoshi,10,dark brown,brown,N/A,Japan,Female,Human,The Wind Rises,2013
Caproni,45,black,brown,N/A,Italy,Male,Human,The Wind Rises,2013
Mr. Kurokawa,N/A,black,navy blue,N/A,Japan,Male,Human,The Wind Rises,2013
Hattori,N/A,black,grey,N/A,Japan,Male,Human,The Wind Rises,2013
Kaguya,N/A,black,navy blue,"celestial being, immortality, beauty, accelerated growth, light and shadow manipulation, intelligence",Japan,Female,Deva,The Tale of Princess Kaguya,2013
Sutemaru,N/A,black,black,N/A,Japan,Male,Human,The Tale of Princess Kaguya,2013
Ishitsukuri,N/A,black,black,N/A,Japan,Male,Human,The Tale of Princess Kaguya,2013
Miyatsuko,N/A,grey,white,N/A,Japan,Male,Human,The Tale of Princess Kaguya,2013
Menowarwa,17,black,navy blue,N/A,Japan,Female,Human,The Tale of Princess Kaguya,2013
Lady Sagami,N/A,black,black,N/A,Japan,Female,Human,The Tale of Princess Kaguya,2013
Inbe no Akita,N/A,black,white,N/A,Japan,Male,Human,The Tale of Priccess Kaguya,2013
Ona,N/A,black,grey,N/A,Japan,Female,Human,The Tale of Princess Kaguya,2013
Marnie,12,green,blonde,N/A,Europe,Female,Human,When Marnie Was There,2014
Anna Sasaki,12,blue,brown,N/A,Japan,Female,Human,When Marnie Was There,2014
Emily,20,dark brown,brown,N/A,Europe,Female,Human,When Marnie Was There,2014
Kazuhiko,16,dark brown,brown,N/A,Japan,Male,Human,When Marnie Was There,2014
Setsu Oiwa,55,dark brown,brown,N/A,Japan,Female,Human,When Marnie Was There,2014
Hisako,N/A,dark brown,grey,N/A,Japan,Female,Human,When Marnie Was There,2014
Yoriko Sasaki,N/A,dark brown,brown,N/A,Japan,Female,Human,When Marnie Was There,2014
Sayaka,11,teal,brown,N/A,Japan,Female,Human,When Marnie Was There,2014
Kiyomasa Oiwa,55,dark brown,brown,N/A,Japan,Male,Human,When Marnie Was There,2014
Doctor Yamashita,N/A,black,navy blue,N/A,Japan,Male,Human,When Marnie Was There,2014








